id,time,sum_flow,avg_speed
R028_S2,2019-04-25 00:30:00,3,65.6666666666667
R028_S3,2019-04-25 00:30:00,7,25.0
R029_S1,2019-04-25 00:30:00,3,20.0
R029_S2,2019-04-25 00:30:00,3,27.8333333333333
R030_S2,2019-04-25 00:30:00,3,35.6666666666667
R031_S1,2019-04-25 00:30:00,3,14.1666666666667
R031_S2,2019-04-25 00:30:00,3,27.8333333333333
R032_S2,2019-04-25 00:30:00,1,11.5
R032_SM46,2019-04-25 00:30:00,1,22.5
R069_S1,2019-04-25 00:30:00,7,38.5
R069_S4,2019-04-25 00:30:00,34,26.3529411764706
R069_SM67,2019-04-25 00:30:00,11,25.1304347826087
R071_S2,2019-04-25 00:30:00,1,17.0
R074_S1,2019-04-25 00:30:00,1,2.0
R074_S3,2019-04-25 00:30:00,0,0.0
R077_S2,2019-04-25 00:30:00,1,26.5
R085_S1,2019-04-25 00:30:00,0,0.0
R085_S2,2019-04-25 00:30:00,0,0.0
R116_S1,2019-04-25 00:30:00,1,12.5
R116_S2,2019-04-25 00:30:00,1,18.5
R131_S1,2019-04-25 00:30:00,0,11.0
R131_S2,2019-04-25 00:30:00,16,40.46875
R131_SM82,2019-04-25 00:30:00,16,38.0625
R131_SM83,2019-04-25 00:30:00,6,52.3076923076923
R133_S2,2019-04-25 00:30:00,3,6.66666666666667
R133_S4,2019-04-25 00:30:00,5,28.4
R134_S1,2019-04-25 00:30:00,3,25.7142857142857
R134_S2,2019-04-25 00:30:00,3,10.8571428571429
R135_S1,2019-04-25 00:30:00,1,8.5
R135_S2,2019-04-25 00:30:00,1,21.0
R141_S1,2019-04-25 00:30:00,0,1.0
R141_S2,2019-04-25 00:30:00,2,26.5
R142_S1,2019-04-25 00:30:00,2,17.0
R142_S2,2019-04-25 00:30:00,21,26.3953488372093
R154_S1,2019-04-25 00:30:00,4,13.5
R001_SM1,2019-04-25 00:45:00,20,34.3
R001_SM2,2019-04-25 00:45:00,3,22.1428571428571
R001_SM3,2019-04-25 00:45:00,5,34.0
R002_S1,2019-04-25 00:45:00,0,0.0
R002_S2,2019-04-25 00:45:00,0,0.0
R002_S4,2019-04-25 00:45:00,2,13.5
R002_S5,2019-04-25 00:45:00,14,30.5
R003_SM7,2019-04-25 00:45:00,10,51.5
R003_SM8,2019-04-25 00:45:00,4,16.5
R003_SM9,2019-04-25 00:45:00,3,25.1666666666667
R028_S1,2019-04-25 00:45:00,3,4.0
R028_S2,2019-04-25 00:45:00,1,1.0
R028_S3,2019-04-25 00:45:00,2,14.0
R029_S1,2019-04-25 00:45:00,2,31.75
R029_S2,2019-04-25 00:45:00,3,34.1666666666667
R030_S2,2019-04-25 00:45:00,2,56.5
R031_S1,2019-04-25 00:45:00,4,30.1111111111111
R031_S2,2019-04-25 00:45:00,6,27.6666666666667
R032_S2,2019-04-25 00:45:00,1,9.66666666666667
R032_SM46,2019-04-25 00:45:00,1,23.0
R069_S1,2019-04-25 00:45:00,8,39.0588235294118
R069_S4,2019-04-25 00:45:00,21,26.1860465116279
R069_SM67,2019-04-25 00:45:00,6,21.25
R071_S2,2019-04-25 00:45:00,3,20.8333333333333
R074_S1,2019-04-25 00:45:00,0,1.0
R074_S3,2019-04-25 00:45:00,0,0.0
R077_S2,2019-04-25 00:45:00,1,26.3333333333333
R085_S1,2019-04-25 00:45:00,0,0.0
R085_S2,2019-04-25 00:45:00,1,4.0
R116_S1,2019-04-25 00:45:00,0,0.0
R116_S2,2019-04-25 00:45:00,1,49.0
R131_S1,2019-04-25 00:45:00,1,11.5
R131_S2,2019-04-25 00:45:00,13,37.5185185185185
R131_SM82,2019-04-25 00:45:00,15,38.551724137931
R131_SM83,2019-04-25 00:45:00,7,52.0
R133_S2,2019-04-25 00:45:00,4,12.0
R133_S4,2019-04-25 00:45:00,6,41.3333333333333
R134_S1,2019-04-25 00:45:00,2,20.75
R134_S2,2019-04-25 00:45:00,1,14.0
R135_S1,2019-04-25 00:45:00,3,16.0
R135_S2,2019-04-25 00:45:00,1,5.33333333333333
R141_S1,2019-04-25 00:45:00,0,0.0
R141_S2,2019-04-25 00:45:00,0,27.0
R142_S1,2019-04-25 00:45:00,3,12.4285714285714
R142_S2,2019-04-25 00:45:00,24,29.5833333333333
R154_S1,2019-04-25 00:45:00,1,0.0
R001_SM1,2019-04-25 01:00:00,20,31.2
R001_SM2,2019-04-25 01:00:00,2,11.75
R001_SM3,2019-04-25 01:00:00,3,16.0
R002_S1,2019-04-25 01:00:00,1,0.0
R002_S2,2019-04-25 01:00:00,0,0.0
R002_S4,2019-04-25 01:00:00,0,0.0
R002_S5,2019-04-25 01:00:00,15,26.1333333333333
R003_SM7,2019-04-25 01:00:00,12,49.84
R003_SM8,2019-04-25 01:00:00,6,25.3333333333333
R003_SM9,2019-04-25 01:00:00,5,29.7
R028_S1,2019-04-25 01:00:00,2,12.5
R028_S2,2019-04-25 01:00:00,1,0.0
R028_S3,2019-04-25 01:00:00,4,26.25
R029_S1,2019-04-25 01:00:00,3,19.0
R029_S2,2019-04-25 01:00:00,4,24.25
R030_S2,2019-04-25 01:00:00,6,49.8333333333333
R031_S1,2019-04-25 01:00:00,5,19.3
R031_S2,2019-04-25 01:00:00,4,27.25
R032_S2,2019-04-25 01:00:00,0,0.0
R032_SM46,2019-04-25 01:00:00,0,34.0
R069_S1,2019-04-25 01:00:00,2,20.0
R069_S4,2019-04-25 01:00:00,23,32.4042553191489
R069_SM67,2019-04-25 01:00:00,11,25.9130434782609
R071_S2,2019-04-25 01:00:00,0,0.0
R074_S1,2019-04-25 01:00:00,1,4.33333333333333
R074_S3,2019-04-25 01:00:00,1,4.5
R077_S2,2019-04-25 01:00:00,2,33.25
R085_S1,2019-04-25 01:00:00,0,0.0
R085_S2,2019-04-25 01:00:00,1,1.0
R116_S1,2019-04-25 01:00:00,1,1.0
R116_S2,2019-04-25 01:00:00,2,23.75
R131_S1,2019-04-25 01:00:00,1,7.0
R131_S2,2019-04-25 01:00:00,13,47.3703703703704
R131_SM82,2019-04-25 01:00:00,14,43.8275862068966
R131_SM83,2019-04-25 01:00:00,8,49.0
R133_S2,2019-04-25 01:00:00,2,6.0
R133_S4,2019-04-25 01:00:00,11,48.5454545454545
R134_S1,2019-04-25 01:00:00,4,15.25
R134_S2,2019-04-25 01:00:00,3,13.7142857142857
R135_S1,2019-04-25 01:00:00,2,10.0
R135_S2,2019-04-25 01:00:00,1,23.6666666666667
R141_S1,2019-04-25 01:00:00,0,0.0
R141_S2,2019-04-25 01:00:00,0,0.0
R142_S1,2019-04-25 01:00:00,2,11.0
R142_S2,2019-04-25 01:00:00,21,27.7209302325581
R154_S1,2019-04-25 01:00:00,3,26.0
R001_SM1,2019-04-25 01:15:00,16,34.84375
R001_SM2,2019-04-25 01:15:00,5,26.1
R001_SM3,2019-04-25 01:15:00,6,11.6153846153846
R002_S1,2019-04-25 01:15:00,1,5.0
R002_S2,2019-04-25 01:15:00,0,0.0
R002_S4,2019-04-25 01:15:00,2,21.5
R002_S5,2019-04-25 01:15:00,15,26.4
R003_SM7,2019-04-25 01:15:00,17,45.9142857142857
R003_SM8,2019-04-25 01:15:00,5,18.0
R003_SM9,2019-04-25 01:15:00,5,31.4
R028_S1,2019-04-25 01:15:00,9,12.1111111111111
R028_S2,2019-04-25 01:15:00,2,2.5
R028_S3,2019-04-25 01:15:00,7,36.2857142857143
R029_S1,2019-04-25 01:15:00,3,25.6666666666667
R029_S2,2019-04-25 01:15:00,4,20.7777777777778
R030_S2,2019-04-25 01:15:00,10,41.7
R031_S1,2019-04-25 01:15:00,5,28.1
R031_S2,2019-04-25 01:15:00,4,31.7777777777778
R032_S2,2019-04-25 01:15:00,2,4.8
R032_SM46,2019-04-25 01:15:00,1,20.5
R069_S1,2019-04-25 01:15:00,8,44.1764705882353
R069_S4,2019-04-25 01:15:00,25,27.64
R069_SM67,2019-04-25 01:15:00,7,27.0666666666667
R071_S2,2019-04-25 01:15:00,2,9.75
R074_S1,2019-04-25 01:15:00,0,2.0
R074_S3,2019-04-25 01:15:00,1,5.5
R077_S2,2019-04-25 01:15:00,1,29.5
R085_S1,2019-04-25 01:15:00,0,0.0
R085_S2,2019-04-25 01:15:00,2,1.0
R116_S1,2019-04-25 01:15:00,2,13.8
R116_S2,2019-04-25 01:15:00,1,35.5
R131_S1,2019-04-25 01:15:00,0,0.0
R131_S2,2019-04-25 01:15:00,10,41.65
R131_SM82,2019-04-25 01:15:00,10,38.9
R131_SM83,2019-04-25 01:15:00,5,48.0909090909091
R133_S2,2019-04-25 01:15:00,1,13.0
R133_S4,2019-04-25 01:15:00,8,38.125
R134_S1,2019-04-25 01:15:00,4,13.6666666666667
R134_S2,2019-04-25 01:15:00,2,13.5
R135_S1,2019-04-25 01:15:00,2,11.25
R135_S2,2019-04-25 01:15:00,2,24.0
R141_S1,2019-04-25 01:15:00,0,0.0
R141_S2,2019-04-25 01:15:00,0,1.0
R142_S1,2019-04-25 01:15:00,1,19.0
R142_S2,2019-04-25 01:15:00,20,29.6153846153846
R154_S1,2019-04-25 01:15:00,5,0.6
R001_SM1,2019-04-25 01:30:00,10,33.0952380952381
R001_SM2,2019-04-25 01:30:00,1,26.0
R001_SM3,2019-04-25 01:30:00,2,12.2
R002_S1,2019-04-25 01:30:00,1,43.0
R002_S2,2019-04-25 01:30:00,0,0.0
R002_S4,2019-04-25 01:30:00,2,25.0
R002_S5,2019-04-25 01:30:00,13,23.5384615384615
R003_SM7,2019-04-25 01:30:00,9,44.8888888888889
