id1,id2,dist
R031_S2,R085_S1,2010.95424407
R031_S2,R032_S2,958.08964677
R031_S2,R032_SM46,974.45404992
R031_S2,R069_S1,995.97335013
R031_S2,R069_S4,985.20482453
R031_S2,R069_SM67,982.55313761
R031_S2,R069_S3,1013.01981709
R031_S2,R071_S1,1758.40609088
R031_S2,R074_S3,680.10689309
R031_S2,R071_S2,1775.69071423
R031_S2,R074_S2,688.46441971
R031_S2,R074_S1,691.84962053
R031_S2,R077_S2,576.90557137
R031_S2,R126_S1,1204.22628841
R031_S2,R131_S1,1601.68133024
R031_S2,R131_SM82,1569.34558889
R031_S2,R126_S2,1221.86176335
R031_S2,R131_S2,1574.68344989
R031_S2,R141_S1,442.54286720000005
R031_S2,R141_S2,452.96351984
R031_S2,R142_S2,1633.37712763
R031_S2,R142_S1,1652.67438826
R031_S2,R135_S2,1408.42128615
R031_S2,R116_S1,1652.9486472
R031_S2,R135_S1,1431.93844216
R032_S1,R032_S1,0.0
R032_S1,R092_S1,1168.07657224
R032_S1,R131_SM83,623.70949266
R032_S1,R133_S2,683.29123631
R032_S1,R133_S4,664.29703624
R032_S1,R134_S1,653.75737576
R032_S1,R134_S2,643.72658688
R032_S1,R154_S2,1047.04471612
R032_S1,R154_S1,1018.38031684
R032_S1,R085_S2,1217.30075756
R032_S1,R116_S2,1108.29465094
R032_S1,R085_S1,1236.69790314
R032_S1,R032_S2,26.24199432
R032_S1,R032_SM46,26.54085733
R032_S1,R069_S1,1347.67453987
R032_S1,R069_S4,1358.38931345
R032_S1,R069_SM67,1355.05510344
R032_S1,R069_S3,1409.33139838
R032_S1,R071_S1,1252.30414867
R032_S1,R074_S3,627.59979272
R032_S1,R071_S2,1248.03262008
R032_S1,R074_S2,576.22046905
R032_S1,R074_S1,620.52240605
R032_S1,R077_S2,1113.53674839
R032_S1,R126_S1,1691.85175121
R032_S1,R131_S1,659.63882277
R032_S1,R131_SM82,627.10746361
R032_S1,R126_S2,1698.9731122
R032_S1,R131_S2,633.39212055
R032_S1,R141_S1,1038.73704106
R032_S1,R141_S2,1050.27516851
R032_S1,R142_S2,1269.88954713
R032_S1,R142_S1,1272.06732637
R032_S1,R135_S2,829.56023019
R032_S1,R116_S1,1101.93959819
R032_S1,R135_S1,827.63959459
R092_S1,R092_S1,0.0
R092_S1,R131_SM83,1772.82146047
R092_S1,R133_S2,1205.5453027
R092_S1,R133_S4,1166.88286648
R092_S1,R134_S1,1302.49576342
R092_S1,R134_S2,1246.98834789
R092_S1,R154_S2,1095.57779965
R092_S1,R154_S1,1059.10539325
R092_S1,R116_S2,1733.99019519
R092_S1,R126_S1,1061.9300706000001
R092_S1,R131_S1,1805.7986309
R092_S1,R131_SM82,1773.82155928
R092_S1,R126_S2,1081.66258733
R092_S1,R131_S2,1778.60632204
R092_S1,R141_S1,396.73168545
R092_S1,R141_S2,401.31091210000005
R092_S1,R142_S2,1694.1531945999998
R092_S1,R142_S1,1716.5036392000002
R092_S1,R135_S2,1531.25028211
R092_S1,R116_S1,1756.56105408
R092_S1,R135_S1,1558.78270687
R131_SM83,R131_SM83,0.0
R131_SM83,R133_S2,893.88812621
R131_SM83,R133_S4,904.09056168
R131_SM83,R134_S1,787.33843001
R131_SM83,R134_S2,823.58901076
R131_SM83,R154_S2,1337.95068906
R131_SM83,R154_S1,1324.90369477
R131_SM83,R141_S1,1581.48665795
R131_SM83,R141_S2,1591.21069177
R131_SM83,R142_S2,1256.76268097
R131_SM83,R142_S1,1244.14616258
R131_SM83,R135_S2,787.68115467
R131_SM83,R135_S1,758.65300498
R133_S2,R133_S2,0.0
R133_S2,R133_S4,39.355882
R133_S2,R134_S1,121.52083835
R133_S2,R134_S2,71.40810371
R133_S2,R154_S2,444.072213
R133_S2,R154_S1,432.32235335
R133_S2,R141_S1,875.50348873
R133_S2,R141_S2,880.24020229
R133_S2,R142_S2,616.22693343
R133_S2,R142_S1,625.46156045
R133_S2,R135_S2,326.62162743
R133_S2,R135_S1,356.60117758
R133_S4,R133_S4,0.0
R133_S4,R134_S1,150.14415884
R133_S4,R134_S2,94.28789726
R133_S4,R154_S2,436.04132569
R133_S4,R154_S1,420.99868656
R133_S4,R141_S1,839.38832225
R133_S4,R141_S2,844.35019015
R133_S4,R142_S2,648.80661101
R133_S4,R142_S1,659.00583863
R133_S4,R135_S2,364.70845194
R133_S4,R135_S1,393.90672887
R134_S1,R134_S1,0.0
R134_S1,R134_S2,57.26415322
R134_S1,R154_S2,555.59400633
R134_S1,R154_S1,547.27548741
R134_S1,R141_S1,985.7621019
R134_S1,R141_S2,991.15260053
R134_S1,R142_S2,616.60197416
R134_S1,R142_S1,620.00675529
R134_S1,R135_S2,235.78842028
R134_S1,R135_S1,258.34298929
R134_S2,R134_S2,0.0
R134_S2,R154_S2,514.68169436
R134_S2,R154_S1,503.55999797
R134_S2,R141_S1,928.52838498
R134_S2,R141_S2,933.90006879
R134_S2,R142_S2,634.48505221
R134_S2,R142_S1,640.47113731
R134_S2,R135_S2,287.15689469
R134_S2,R135_S1,312.22697821
R154_S2,R154_S2,0.0
R154_S1,R154_S2,39.73271923
R154_S1,R154_S1,0.0
R085_S2,R092_S1,2121.99325419
R085_S2,R131_SM83,809.7642746
R085_S2,R133_S2,929.77212396
R085_S2,R133_S4,965.9881435000001
R085_S2,R134_S1,822.14048942
R085_S2,R134_S2,878.87730699
R085_S2,R154_S2,1252.04463108
R085_S2,R154_S1,1263.75240605
R085_S2,R085_S2,0.0
R085_S2,R116_S2,542.10192756
R085_S2,R126_S1,2036.59965049
R085_S2,R131_S1,784.58025601
R085_S2,R131_SM82,798.03446784
R085_S2,R126_S2,2029.57232553
R085_S2,R131_S2,789.49455696
R085_S2,R141_S1,1805.24964182
R085_S2,R141_S2,1810.01002585
R085_S2,R142_S2,805.00474869
R085_S2,R142_S1,777.75120907
R085_S2,R135_S2,608.12423231
R085_S2,R116_S1,500.50845815
R085_S2,R135_S1,574.54618515
R116_S2,R131_SM83,997.82831992
R116_S2,R133_S2,547.69356384
R116_S2,R133_S4,586.71384604
R116_S2,R134_S1,492.43952762
R116_S2,R134_S2,532.75048159
R116_S2,R154_S2,743.24121728
R116_S2,R154_S1,762.34204637
R116_S2,R116_S2,0.0
R116_S2,R126_S1,1504.42843261
R116_S2,R131_S1,991.84019223
R116_S2,R131_SM82,986.91107134
R116_S2,R126_S2,1496.19084433
R116_S2,R131_S2,981.2647578
R116_S2,R141_S1,1375.32753925
R116_S2,R141_S2,1377.45511215
R116_S2,R142_S2,283.45553746
R116_S2,R142_S1,262.28835856
R116_S2,R135_S2,278.87578583
R116_S2,R135_S1,282.93776551
R085_S1,R092_S1,2156.86912895
R085_S1,R131_SM83,809.08441846
R085_S1,R133_S2,967.94897936
R085_S1,R133_S4,1003.79340296
R085_S1,R134_S1,858.86721621
R085_S1,R134_S2,915.80048884
R085_S1,R154_S2,1294.8818019999999
R085_S1,R154_S1,1306.24063191
R085_S1,R085_S2,44.25264344
R085_S1,R116_S2,586.35260511
R085_S1,R085_S1,0.0
R085_S1,R126_S1,2080.33551314
R085_S1,R131_S1,782.39193442
R085_S1,R131_SM82,797.48205136
R085_S1,R126_S2,2073.37587074
R085_S1,R131_S2,788.80492716
R085_S1,R141_S1,1843.18168756
R085_S1,R141_S2,1848.09324948
R085_S1,R142_S2,848.6497567
R085_S1,R142_S1,821.27038784
R085_S1,R135_S2,647.95250022
R085_S1,R116_S1,544.76104545
R085_S1,R135_S1,613.76203123
R028_S1,R029_S1,205.89370646
R028_S1,R029_S2,213.92804647
R028_S1,R030_S1,351.77311539999994
R028_S1,R030_S2,311.39612733
R028_S1,R031_S1,320.40143336
R028_S1,R031_S2,384.40126287
R028_S1,R032_S1,610.6079762999999
R028_S1,R092_S1,568.94621529
R028_S1,R131_SM83,1204.4976439000002
R028_S1,R133_S2,731.46689653
